company,created_at,favorite_count,retweet_count,reply_to,content,hashtags,retweet,quote
BLUMENBECKER,2016-05-10 11:53:17,1,0,,#HM16 war ein voller Erfolg. Nochmal danke an alle Besucher. https://t.co/4jG4CkQw63,['hm16'],False,False
BLUMENBECKER,2016-05-01 09:47:01,1,0,,Heute sind wir beim #TagderoffenenTür bei @BEUMERcorp wir freuen uns auf viele Besucher. Vorbei kommen lohnt sich! https://t.co/9pBFOGngxd,['tagderoffenentür'],False,False
BLUMENBECKER,2016-04-27 06:57:13,1,0,,Guten Morgen @stemmerimaging @SmartRoboticsNL @Inrotech @incubedIT @attentra Application Park Robotics auf #hm16. Auf geht's Tag 3.,['hm16'],False,False
BLUMENBECKER,2016-04-26 14:12:03,0,0,,Tag 2 auf der #hm16 neigt sich dem Ende. Wieder viele interessante Gespräche geführt. Wer noch #Tickets braucht: https://t.co/7hjNmSreT8,"['hm16', 'tickets']",False,False
BLUMENBECKER,2016-04-25 09:08:02,0,0,,Zur Orientierung #HM16 Lageplan Application Park Halle 17 https://t.co/JjcvaBa5xg,['hm16'],False,False
BLUMENBECKER,2016-04-25 07:43:31,0,0,,Wir heißen alle Besucher zur #HM16 herzlich Willkommen! Besuchen Sie uns in Halle 17! https://t.co/UHMjxHvtRF,['hm16'],False,False
BLUMENBECKER,2016-04-25 07:30:59,0,0,,Schöninger Unternehmer  gibt #Prozessbetrug vor Gericht zu: https://t.co/hpkmoI1GMF,['prozessbetrug'],False,False
BLUMENBECKER,2016-04-24 14:38:29,1,0,,Letzte Arbeiten für die #HM16 erledigt. Jetzt heißt es Gelände räumen. https://t.co/dyvS98h21M,['hm16'],False,False
BLUMENBECKER,2016-04-21 17:11:12,0,5,,RT @induux_de: Auf #HM16 nehmen wir zB mit: @LuetzeSolutions @we_online @murrplastik @BLUMENBECKER @Balluff @KUKA_RoboticsDE https://t.co/Y…,['hm16'],False,False
BLUMENBECKER,2016-04-21 11:39:54,0,2,,Unsere Roboter Applikation für die #HM16 steht. Halle 17 Stand E42. https://t.co/E99OJiWiDN,['hm16'],False,False
BLUMENBECKER,2016-04-20 07:59:17,1,1,,Guten Morgen #Soest jetzt geht's los. #Karrieretag bis 16 Uhr mit @BEUMERGroup im Messezelt.,"['soest', 'karrieretag']",False,False
BLUMENBECKER,2016-04-20 07:20:59,1,0,,Unser Stand steht! Messezelt Z64. #Karrieretag #Soest https://t.co/UIxXZaEbFE,"['karrieretag', 'soest']",False,False
BLUMENBECKER,2016-04-20 06:51:09,1,0,,"Shuttlebus zum #Karrieretag #Soest klappt schon mal gut. 10 Uhr geht's los, wir bauen jetzt auf.","['karrieretag', 'soest']",False,False
BLUMENBECKER,2016-04-19 10:07:20,1,1,,Nicht vergessen! Morgen ist #Karrieretag in #Soest. Los geht es um 10 Uhr. Besucht uns an unserem Stand Z64 im Messezelt. Wir freuen uns!,"['karrieretag', 'soest']",False,False
BLUMENBECKER,2016-04-19 08:18:55,0,1,,Kamera geführter #Roboter - kurz BIN PICKING. Dies präsentieren wir Ihnen auf der #HM16 in Halle 17 Stand E42. https://t.co/mSCFCJoFzd,"['roboter', 'hm16']",False,False
BLUMENBECKER,2016-04-18 11:47:51,0,0,,Die #bauma ist erfolgreich zu ende gegangen. Jetzt heißt es Messenachbereitung. Danke an alle Besucher für das Große Interesse.,['bauma'],False,False
BLUMENBECKER,2016-04-18 11:41:03,0,0,,"Noch eine Woche bis zur #HM16. Besuchen Sie uns Halle 7, E42. Gerne können auch Termine vereinbart werden. Tickets: https://t.co/lXN1sFvOa5",['hm16'],False,False
BLUMENBECKER,2016-04-15 09:01:35,0,0,,Erste Drucksachen für #HM16 sind angekommen. 😃 https://t.co/wU3MQm1HW8,['hm16'],False,False
BLUMENBECKER,2016-04-15 08:30:40,0,0,,Zu finden sind wir auf der #bauma am Stand FN. 1022/1. https://t.co/94G4fu6DqD,['bauma'],False,False
BLUMENBECKER,2016-04-15 08:28:00,0,0,,Neben KLUBB #Arbeitsbühnen auf der #bauma bieten wir weiterhin unsere #Hubmeister Hubarbeitsbühnen an. https://t.co/xBtvjcwnY6,"['arbeitsbühnen', 'bauma', 'hubmeister']",False,False
BLUMENBECKER,2016-04-14 06:48:35,0,0,,"Moin! Halbzeit auf der #bauma. Besuchen Sie uns am Stand von KLUBB Arbeitsbühnen, unserem neuen Kooperationspartner. https://t.co/mg61VaBaIf",['bauma'],False,False
BLUMENBECKER,2016-04-11 11:33:14,0,0,,Auch wir sind auf der #HM16 und stellen unsere BIN PICKING Lösung vor. Zusammenspiel zwischen Roboter und Kamera. https://t.co/SOyFiuU6rg,['hm16'],False,False
BLUMENBECKER,2016-04-08 11:12:40,0,1,,Kooperation mit KLUBB #Hubarbeitsbühnen. Besuchen Sie uns auf der #bauma am Stand FN. 1022/1 Weiter Infos: https://t.co/pHOLEqGLZ4,"['hubarbeitsbühnen', 'bauma']",False,False
BLUMENBECKER,2016-04-06 12:23:44,0,1,,"RT @movicarga1: @BLUMENBECKER Technik GmbH becomes the #distributor of the KLUBB #platforms in Germany
https://t.co/mrTZ5nFvIv https://t.co…","['distributor', 'platforms']",False,False
BLUMENBECKER,2016-03-18 08:28:00,0,0,,Besuchen Sie uns auf der #BauenundWohnen in #Münster Stand N.321. Um 10 Uhr geht's los. Wir präsentieren Arbeitskleidung &amp; Elektrowerkzeuge.,"['bauenundwohnen', 'münster']",False,False
BLUMENBECKER,2016-03-17 11:11:14,0,1,,"""Rundum-Sorglos-Paket"" für @BharatForgeLtd #Automation
#robotics Projektbericht unter: https://t.co/BYmgTuWAgt","['automation', 'robotics']",False,False
BLUMENBECKER,2016-03-04 11:10:22,0,0,,Fünf #Westfleisch Azubis kommen nach Großbrand in #Paderborn bei Blumenbecker unter: https://t.co/r1v0RZ2mxe https://t.co/FpI2eL5K1o,"['westfleisch', 'paderborn']",False,False
BLUMENBECKER,2016-03-03 11:10:48,0,1,,RT @induux_de: #Industriebedarf #Prozessoptimierung https://t.co/MzeLewDpEg von @blumenbecker,"['industriebedarf', 'prozessoptimierung']",False,False
BLUMENBECKER,2016-02-29 14:45:58,1,0,,Partnerschaft im #Industriehandel Ohrmann Montagetechnik zufrieden mit Zusammenarbeit https://t.co/Hi2ELmlOJ0 https://t.co/edoMZvkMDQ,['industriehandel'],False,False
BLUMENBECKER,2016-02-12 12:23:31,0,0,,#Stellenangebot ELEKTROKONSTRUKTEUR / HARDWAREPLANER (M/W) in #Braunschweig gesucht https://t.co/8uqW2Arct6 https://t.co/qTSjRR8sps,"['stellenangebot', 'braunschweig']",False,False
BLUMENBECKER,2016-01-22 12:26:07,0,0,,Unser #Stellenangebot zum Wochenende: Wir suchen Verstärkung für unser Telefonmarketing/ Neukundenaquise in Beckum. https://t.co/LQuPhZ5H0u,['stellenangebot'],False,False
BLUMENBECKER,2016-01-20 08:34:20,0,0,handling,@handling Habt ihr Interesse an einem Bericht über Roboter Laserschweißen? https://t.co/9INydZZo7f,,False,False
BLUMENBECKER,2016-01-19 14:43:59,0,0,,Morgen #Abschlussprüfung für unsere #Industriekaufleute. Kathrin ist gut vorbereitet. https://t.co/Iz2QQL8XIx,"['abschlussprüfung', 'industriekaufleute']",False,False
BLUMENBECKER,2016-01-11 15:50:33,1,1,,Innovative Fluggasttreppen für #Flughäfen kommen aus Bad Lauchstädt. https://t.co/dazwGKgTys https://t.co/Qof0P4ym2r,['flughäfen'],False,False
BLUMENBECKER,2015-12-21 15:40:07,0,0,,Nicht nur irgendeine #Werkzeugmaschine. Blumenbecker liefert Hightech-Werkzeugmaschine aus. https://t.co/QDhN1dVzBt,['werkzeugmaschine'],False,False
BLUMENBECKER,2015-12-16 13:40:20,0,0,,Neues von B+M Blumenbecker GmbH: Vertriebsmitarbeiter (m/w) Innendienst in Hagen gesucht - https://t.co/VDszuk5gLE,,False,False
BLUMENBECKER,2015-12-09 15:37:14,1,0,,Wir automatisieren jetzt auch in der #Milchindustrie. #Indien https://t.co/1tb0xO96ab https://t.co/gnGomb0p6e,"['milchindustrie', 'indien']",False,False
BLUMENBECKER,2015-12-02 16:10:49,1,0,,Seid 10 Jahren Partner für die #Automatisierungstechnik in Polen. @Rittal @SchneiderElecDE @PepperlFuchsDE  https://t.co/CtEuscvwAO,['automatisierungstechnik'],False,False
BLUMENBECKER,2015-11-23 15:52:08,0,0,,Neues mobiles Prüfservice-Fahrzeug in #Bremen bedient die Kunden vor Ort. https://t.co/qeMIs0i0UZ https://t.co/Azt54tGD7z,['bremen'],False,False
BLUMENBECKER,2015-11-20 11:08:02,0,0,,Unser #Stellenangebot zum Wochenende: Wir suchen einen Teamleiter (m/w) Service &amp; Montage für den Standort #Hamburg https://t.co/626DrBHThn,"['stellenangebot', 'hamburg']",False,False
BLUMENBECKER,2015-11-20 08:48:37,0,0,,Auch Blumenbecker beachtet die @DIN_Norm EN 61439 beim #Schaltschrankbau in der #Automatisierungstechnik https://t.co/Ae5jMRjk8n,"['schaltschrankbau', 'automatisierungstechnik']",False,False
BLUMENBECKER,2015-11-18 08:21:14,1,0,,Während der Ausbildung zum Konstruktionsmechaniker fährt Lukas bereits mit auf Montage. #ausbildung #kranbau  https://t.co/FFRy9xMsay,"['ausbildung', 'kranbau']",False,False
BLUMENBECKER,2015-11-11 16:39:07,0,0,,Passend zum heutigen Tag haben wir unseren 111 #Follower gewonnen.  #Karneval #danke #folgtunsweiter,"['follower', 'karneval', 'danke', 'folgtunsweiter']",False,False
BLUMENBECKER,2015-11-11 15:07:49,1,1,,Wie #Industrie40 bei der Blumenbecker #Automatisierungstechnik funktioniert lesen Sie im aktuellen @SPSMAGAZIN https://t.co/hZ25j7aXsP,"['industrie40', 'automatisierungstechnik']",False,False
BLUMENBECKER,2015-11-11 10:11:53,1,0,,#Karneval #Rumskedi Auch in #Beckum beginnt die fünfte Jahreszeit! https://t.co/IKTpUIg3n2,"['karneval', 'rumskedi', 'beckum']",False,False
BLUMENBECKER,2015-11-11 09:52:13,0,0,KUKA_RoboticsDE,@KUKA_RoboticsDE @BMW Glückwunsch! :-),,False,False
